fid,source_name,available_heat,source_id,geo_coordinate_x,geo_coordinate_y,neighbourhoods_in_range
"1",BV Preparatiebedrijf Lommerse  Uitendaal,"98928",LTHP0001,100379,480139,
"2",RWZI   Nijkerk,"99171",LTHP0002,161407,471751,
"3",RWZI   Waddinxveen Randenburg,"99171",LTHP0003,105326,452095,"GM0627_4,GM0627_44,GM0627_33,GM1901_16,GM0627_27,GM0627_49,GM0627_0,GM0627_14"
"4",RWZI   Barendrecht,"100696",LTHP0004,96069,427702,"GM0489_19,GM0489_75,GM0489_30,GM0489_41,GM0489_6,GM1963_69"
"5",RWZI   Soest,"100696",LTHP0005,148791,467212,"GM0342_54,GM0342_39,GM0342_2,GM0342_82,GM0342_81,GM0342_30,GM0308_36,GM0308_43"
"6",RWZI   Driebergen,"101612",LTHP0006,146276,450920,"GM1581_25,GM1581_10,GM1581_5,GM1581_1"
"7",Equinix AM5,"102930",LTHP0007,124867,478510,GM0437_19
"8",Equinix AM6,"102930",LTHP0008,124049,483346,"GM0437_13,GM0437_4,GM0437_31,GM0437_6,GM0437_17,GM0437_29,GM0437_5"
"9",Het Kaasmerk BV,"102997",LTHP0009,95258,463240,
"10",RWZI   Kootstertille,"104358",LTHP0010,203653,582110,"GM0059_40,GM0059_39"
"11",RWZI   De Meern,"176602",LTHP0011,128566,455734,"GM0632_10,GM0344_4_143,GM0344_4_54,GM0344_4_28,GM0344_4_25,GM0344_4_87,GM0344_4_75,GM0344_4_77,GM0344_4_74,GM0344_4_144"
"12",RWZI   Willem Annapolder,"108386",LTHP0012,53838,385524,"GM0678_11,GM0654_4"
"13",NLDC,"111690",LTHP0013,114131,478456,"GM0358_66,GM0358_25,GM0358_49"
"14",RWZI   Rhenen,"115343",LTHP0014,165405,442334,GM0340_19
"15",RWZI   Woerden,"115343",LTHP0015,118154,455441,"GM0632_83,GM0632_27,GM0632_65,GM0632_35,GM0632_43,GM0632_23,GM0632_54"
"16",Farm Frites BV,"117629",LTHP0016,70696,426685,"GM0530_22,GM0530_45,GM0530_3"
"17",Initworks BV,"118260",LTHP0017,91190,435351,"GM0599_1_216,GM0599_1_271,GM0599_1_238,GM0599_1_275,GM0599_1_8,GM0599_1_138,GM0599_1_32,GM0599_1_46,GM0599_1_93,GM0599_1_156,GM0599_1_3,GM0599_1_139,GM0599_1_68,GM0599_1_163,GM0599_1_18,GM0599_1_218,GM0599_7_28,GM0599_7_99,GM0599_7_33"
"18",Aanholt Supermarkt BV,"124112",LTHP0018,166411,446405,"GM0345_5,GM0345_24,GM0345_40,GM0345_31,GM0345_33,GM0345_119,GM0340_23,GM0345_20,GM0345_9,GM0345_15,GM0345_10"
"19",Albert Heijn BV,"124112",LTHP0019,164970,448939,"GM0345_104,GM0345_110,GM0345_12,GM0345_75,GM0345_121,GM0345_28,GM0345_76,GM0345_103,GM0345_54,GM0345_3,GM0345_60,GM0345_102,GM0345_41,GM0345_17,GM0345_118,GM0345_50,GM0345_65,GM0345_42,GM0345_70,GM0345_95"
