BU_CODE,GM_code,nrWEQ [WEQ],nrWEQwoning [WEQ],nrWEQutil [WEQ],,H01_Vraag_totaal [ giga J per WEQ*yr],H02_Vraag_RV [ giga J per WEQ*yr],H03_Vraag_TW [ giga J per WEQ*yr],H04_Vraag_Vent [ giga J per WEQ*yr],H05_Vraag_K [ giga J per WEQ*yr],H06_Vraag_App [ giga J per WEQ*yr],,H01_Vraag_totaal [ giga J per yr],H02_Vraag_RV [ giga J per yr],H03_Vraag_TW [ giga J per yr],H04_Vraag_Vent [ giga J per yr],H05_Vraag_K [ giga J per yr],H06_Vraag_App [ giga J per yr]
GM0059_3,GM0059,334.815385,223,111.815385,,50,26,6,1,2,15,,16740.76925,8705.20001,2008.89231,334.815385,669.63077,5022.230775
GM0059_27,GM0059,334.546154,312,22.5461538,,54,32,8,0,1,13,,18065.49232,10705.47693,2676.369232,0,334.546154,4349.100002
GM0059_21,GM0059,308.007692,248,60.0076923,,40,17,7,0,2,14,,12320.30768,5236.130764,2156.053844,0,616.015384,4312.107688
GM0059_23,GM0059,288.046154,256,32.0461538,,47,27,7,1,1,11,,13538.16924,7777.246158,2016.323078,288.046154,288.046154,3168.507694
GM0059_18,GM0059,475.523077,407,68.5230769,,46,23,7,1,2,14,,21874.06154,10937.03077,3328.661539,475.523077,951.046154,6657.323078
GM0059_31,GM0059,503.276923,471,32.2769231,,49,29,8,1,1,10,,24660.56923,14595.03077,4026.215384,503.276923,503.276923,5032.76923
GM0059_34,GM0059,219.753846,193,26.7538462,,57,35,9,0,1,12,,12525.96922,7691.38461,1977.784614,0,219.753846,2637.046152
GM0059_10,GM0059,720.930769,358,362.930769,,68,28,5,0,5,29,,49023.29229,20186.06153,3604.653845,0,3604.653845,20906.9923
GM0059_5,GM0059,45.2538462,44,1.25384615,,63,43,8,1,1,10,,2850.992311,1945.915387,362.0307696,45.2538462,45.2538462,452.538462
GM0059_30,GM0059,91.9,73,18.9,,58,30,8,0,3,17,,5330.2,2757,735.2,0,275.7,1562.3
GM0059_22,GM0059,27.6307692,26,1.63076923,,50,28,8,1,1,12,,1381.53846,773.6615376,221.0461536,27.6307692,27.6307692,331.5692304
GM0059_45,GM0059,147.907692,144,3.90769231,,44,24,8,1,0,11,,6507.938448,3549.784608,1183.261536,147.907692,0,1626.984612
GM0059_44,GM0059,64.0769231,64,0.076923077,,62,42,9,1,0,10,,3972.769232,2691.23077,576.6923079,64.0769231,0,640.769231
GM0059_39,GM0059,298.2,221,77.2,,52,29,7,0,1,13,,15506.4,8647.8,2087.4,0,298.2,3876.6
GM0059_14,GM0059,47.1230769,37,10.1230769,,62,38,7,1,1,15,,2921.630768,1790.676922,329.8615383,47.1230769,47.1230769,706.8461535
GM0059_32,GM0059,112.761538,92,20.7615385,,62,37,7,1,2,14,,6991.215356,4172.176906,789.330766,112.761538,225.523076,1578.661532
GM0059_9,GM0059,72.0769231,45,27.0769231,,73,32,6,1,3,32,,5261.615386,2306.461539,432.4615386,72.0769231,216.2307693,2306.461539
GM0059_48,GM0059,409.069231,343,66.0692308,,51,25,7,1,2,16,,20862.53078,10226.73078,2863.484617,409.069231,818.138462,6545.107696
GM0059_40,GM0059,374.176923,361,13.1769231,,47,27,8,1,1,11,,17586.31538,10102.77692,2993.415384,374.176923,374.176923,4115.946153
GM0059_36,GM0059,53,53,0,,62,42,9,1,0,10,,3286,2226,477,53,0,530
GM0059_17,GM0059,798.892308,727,71.8923077,,52,30,8,1,1,12,,41542.40002,23966.76924,6391.138464,798.892308,798.892308,9586.707696
GM1891_3,GM1891,271.553846,165,106.553846,,55,26,6,0,5,18,,14935.46153,7060.399996,1629.323076,0,1357.76923,4887.969228
GM1891_9,GM1891,262.630769,234,28.6307692,,60,35,8,1,1,15,,15757.84614,9192.076915,2101.046152,262.630769,262.630769,3939.461535
