neighbourhood,type,E,H,geothermal,HT,MT,LT,backup,undecided,useful_heat,heat_reduction
total,residences,629848.1888264548,389553.2196448574,0.0,243481.76171735406,0.0,1603740.8441011128,1189342.186828398,0.0,2648957.5891687623,58146.10909626814
total,utility,564265.5521426129,35045.3718122319,0.0,288742.56774685165,0.0,505046.43026815285,424442.79024736723,656.757787,1041860.2775538949,116163.68743572528
BU03072006,residences,0.0,,,,,,,0.0,0.0,0.0
BU03072006,utility,0.0,,,,,,,656.757787,656.757787,0.0
BU03073104,residences,0.0,,,,,,,0.0,0.0,0.0
BU03073104,utility,0.0,,,,,,,0.0,0.0,0.0
BU03072505,residences,0.0,,,,,,,,0.0,0.0
BU03072505,utility,213.88320782933724,,,,,,,,802.0620293600147,300.31922121998525
BU03072506,residences,0.0,,,,,,,,0.0,0.0
BU03072506,utility,1376.8563824486703,,,,,,,,5163.211434182514,927.4863403954865
BU03072507,residences,0.0,,,,,,,,0.0,0.0
BU03072507,utility,5058.534301668797,,,,,,,,18969.503631257987,4730.0612937090145
BU03072805,residences,0.0,,,,,,,,0.0,0.0
BU03072805,utility,479.7867995606652,,,,,,,,1799.2004983524946,334.27816914950563
BU03073100,residences,0.0,,,,,,,,0.0,0.0
BU03073100,utility,304.23155397615227,,,,,,,,1140.868327410571,408.2957166794289
BU03070401,residences,350.83799999999997,,,,,1583.16587667,1117.52885412,,1583.1658766700002,0.0
BU03070401,utility,350.837984292,,,,,24022.979781860002,16957.397493077646,,24022.979781860002,0.0
BU03070307,residences,876.5550000000001,,,,,3522.85624078,2486.722052315294,,3522.85624078,0.0
BU03070307,utility,876.5550027000002,,,,,7952.51252205,5613.538250858824,,7952.51252205,0.0
BU03072709,residences,343.78290238977155,,,,,,,,628.2258839616434,270.80729139835654
BU03072709,utility,6263.041000345344,,,,,,,,22825.443855143792,7869.641218141203
BU03071603,residences,136.0291771776659,225.2638324284613,,,,,,,395.762051949462,37.98202387053802
BU03071603,utility,192.3179041589873,480.89402789408524,,,,,,,844.8742312419201,531.57791478208
BU03072502,residences,181.97037709867044,,,,,,,,328.82391412001414,144.3514413199858
BU03072502,utility,3154.250545481813,,,,,,,,11474.874584445235,3073.259993531764
BU03073001,residences,6705.0720026399995,,,,,22351.947868360003,15777.845554136473,,22351.947868360006,0.0
BU03073001,utility,6705.072000201,,,,,1906.8219893120001,1345.9919924555295,,1906.8219893120001,0.0
BU03073000,residences,5121.89999982,,,,,17523.59873376,12369.599106183532,,17523.59873376,0.0
BU03073000,utility,0.0,,,,,0.0,0.0,,0.0,0.0
BU03072901,residences,1190.2679999962502,,,,,5631.890996,3975.452467764706,,5631.890996,0.0
BU03072901,utility,1190.267990406,,,,,10382.830931085,7329.057127824706,,10382.830931085,0.0
BU03073108,residences,453.594632570823,771.9325664515901,,,,,,,1344.212493916141,122.63110792385896
BU03073108,utility,285.12,0.0,,,,,,,0.0,0.0
BU03071707,residences,688.6269707896538,1285.6957925073305,,,,,,,2314.2524265131947,237.6085532868057
BU03071707,utility,449.64130088459825,226.36214814094998,,,,,,,407.45186665371,248.67775690629
BU03073103,residences,6290.2169999595,,,,,38865.94786892,27434.78673100235,,38865.94786892,0.0
BU03073103,utility,6290.216998408501,,,,,2413.10226134,1703.3663021223529,,2413.1022613399996,0.0
BU03072700,residences,753.1866581329749,1169.8915477029743,,,,,,,2026.0345063801183,183.43152829988173
BU03072700,utility,518.188830119539,87.22174593195149,,,,,,,151.05183665257124,89.95528943242876
BU03072300,residences,461.6886686128991,792.4763679649786,,,,,,,1426.4574623369615,136.99277458303837
BU03072300,utility,671.4756500188587,1722.3831955977776,,,,,,,3100.289752076,0.0
BU03070100,residences,2382.37200013725,,,13569.090851582501,,,3192.7272591958817,,13569.090851582501,377.15559419749803
BU03070100,utility,2382.371997417,,,33551.72007723142,,,7894.522371113272,,33551.72007723142,5348.874623156582
BU03071800,residences,6647.818080075207,13595.21705436131,,,,,,,24311.09106083942,2725.1648640605836
BU03071800,utility,5027.619605479457,6366.132157489848,,,,,,,11383.975553110038,5913.434870454961
BU03070501,residences,1241.08199964,,,9804.658767679999,,,2306.9785335717643,,9804.658767679999,0.0
BU03070501,utility,1241.081989875,,,111026.07623443058,,,26123.782643395425,,111026.07623443058,6673.35922135341
BU03072601,residences,6260.6519989125,,,,,26073.04739585,18404.50404412941,,26073.047395850004,0.0
BU03072601,utility,6260.65200066,,,,,2474.733418575,1746.8706484058823,,2474.733418575,0.0
BU03070306,residences,5293.134,,,,,36580.540286400006,25821.557849223536,,36580.54028640001,0.0
BU03070306,utility,5293.133987694,,,,,7379.246968746001,5208.880213232472,,7379.246968746,0.0
BU03071702,residences,4311.609237222611,8963.370086294153,,,,,,,15594.488596656476,1844.2538989435252
BU03071702,utility,2671.2694255939955,1440.7794822914177,,,,,,,2506.67092740555,1562.23847522445
BU03071202,residences,1158.947657317008,2315.85002504098,,,,,,,4053.444074337829,422.66335054217063
BU03071202,utility,675.6857943019808,112.91251066881274,,,,,,,197.63134155503312,120.79846596996688
BU03072602,residences,2778.29999892,,,,,11510.18957464,8124.839699745882,,11510.18957464,0.0
BU03072602,utility,2778.2999998875002,,,,,0.0,0.0,,0.0,0.0
BU03072504,residences,703.0752085895415,1413.0747538976511,,,,,,,2517.6399621505975,337.7423444494026
BU03072504,utility,599.5118389282455,949.2957275774095,,,,,,,1691.336465431481,84.41860403851902
BU03072701,residences,2995.6890425393967,5810.356334308083,,,,,,,10304.330126644121,712.769399945879
BU03072701,utility,1841.4870190905267,617.5964141644636,,,,,,,1095.27143783,0.0
BU03072804,residences,1905.7679994,,,,,8314.01421685,5868.715917776471,,8314.01421685,0.0
BU03072804,utility,1905.768000606,,,,,498.60684786400003,351.9577749628235,,498.606847864,0.0
BU03071706,residences,2262.735,,,15183.01421904,,,3572.4739338917643,,15183.01421904,0.0
BU03071706,utility,2262.73500264,,,4021.2102654139735,,,946.167121273876,,4021.2102654139735,781.0887208260268
BU03072803,residences,3711.74400135,,,,,15400.9715629,10871.2740444,,15400.971562899998,0.0
BU03072803,utility,3711.74400026325,,,,,660.7656713151316,466.42282681068116,,660.7656713151316,83.51047711886827
BU03072902,residences,3673.647000000001,,,,,14944.45497598,10549.027041868234,,14944.454975979997,0.0
BU03072902,utility,3673.647,,,,,9.2908332,6.5582351999999995,,9.290833200000002,0.0
BU03072000,residences,6559.025597326254,10125.318278205312,,,,,,,17818.89573376,0.0
BU03072000,utility,4325.723999625,0.0,,,,,,,0.0,0.0
BU03072802,residences,7342.649997840001,,,,,28988.99051968,20462.816837421175,,28988.990519679995,0.0
BU03072802,utility,7342.649998089751,,,,,2983.855951069,2106.2512595781177,,2983.8559510690006,0.0
BU03071802,residences,5347.628389428892,11333.838653543085,,,,,,,19985.5243897252,2453.2733983747985
BU03071802,utility,4087.1458042268223,5630.466175631109,,,,,,,9928.482530799116,3877.5086772808836
BU03071900,residences,10563.959931804533,18850.635327450527,,,,,,,32862.6856261,0.0
BU03071900,utility,6812.809613043936,1682.5913470533121,,,,,,,2933.2947943080003,0.0
BU03072801,residences,3140.397000000001,,,,,11789.952606379999,8322.31948685647,,11789.952606379999,0.0
BU03072801,utility,3140.39699936925,,,,,1024.571152023,723.226695545647,,1024.5711520229997,0.0
BU03073101,residences,8287.515,,,,,42467.48815074,29977.050459345883,,42467.48815073999,0.0
BU03073101,utility,8287.515000555,,,,,200.13287279999997,141.27026315294117,,200.13287279999997,0.0
BU03072004,residences,8719.439079878306,13501.27387679652,,,,,,,24133.51658867,0.0
BU03072004,utility,5694.705,0.0,,,,,,,0.0,0.0
BU03073102,residences,4834.9169999999995,,,,,21332.32227442,15058.109840767058,,21332.32227442,0.0
BU03073102,utility,4834.917001125,,,,,163.302341823,115.27224128682354,,163.302341823,0.0
BU03070902,residences,8764.958820446933,14814.542211307658,,,,,,,23849.352290799998,0.0
BU03070902,utility,6095.46489494079,1584.1111761859777,,,,,,,2550.198647368,0.0
BU03072005,residences,7053.214044246401,11403.026330888122,,,,,,,19853.6492892,0.0
BU03072005,utility,4646.261118217129,372.8923511555147,,,,,,,649.237645134,0.0
BU03071100,residences,7955.4672355312,14176.987241221123,,,,,,,25283.40347498297,78.79557981703267
BU03071100,utility,4910.187141390703,552.8482127588248,,,,,,,985.955914735,0.0
BU03070903,residences,11559.33516892224,20260.14612059089,,,,,,,34150.44549672,0.0
BU03070903,utility,7391.93321790484,533.8748858658486,,,,,,,899.8980107699999,0.0
BU03070900,residences,10326.495402753599,17673.181871125533,,,,,,,30670.734597299997,0.0
BU03070900,utility,6604.350253660553,560.5312556087265,,,,,,,972.767976906,0.0
BU03072001,residences,7474.475113944745,12313.784430374439,,,,,,,21128.59399424,0.0
BU03072001,utility,5068.181430114384,1124.4825884733093,,,,,,,1929.442260402,0.0
BU03072100,residences,7081.593188803467,11811.521200700083,,,,,,,19984.4296979,0.0
BU03072100,utility,4576.878000135001,0.0,,,,,,,0.0,0.0
BU03071804,residences,7683.8523565420255,14668.459027225295,,,,,,,26403.226249005533,499.4214609944701
BU03071804,utility,4919.097274397165,2413.3389964590665,,,,,,,4344.01019362632,2579.44726006968
BU03071902,residences,15091.63765729353,25703.83532271615,,,,,,,46098.380224077344,3997.676646962654
BU03071902,utility,9389.493622286764,335.97386075220345,,,,,,,602.5501869216641,196.7289559643359
BU03072301,residences,12.799053712373333,21.906266455555553,,,,,,,39.43127962,0.0
BU03072301,utility,99.10729632289156,404.47826599685976,,,,,,,728.0608787943476,152.50305519565245
BU03072806,residences,12.799053712373333,21.906266455555553,,,,,,,39.43127962,0.0
BU03072806,utility,209.5699796820373,894.1178167288888,,,,,,,1609.4120701119998,0.0
BU03072900,residences,6066.9,,,,,25314.881516039997,17869.32812896941,,25314.88151604,0.0
BU03072900,utility,6066.9,,,,,0.0,0.0,,0.0,0.0
BU03072800,residences,6483.51,,,,,23245.06793334,16408.28324706353,,23245.067933340004,0.0
BU03072800,utility,6483.510001695,,,,,302.59303375,213.59508264705883,,302.59303375,0.0
BU03070600,residences,3723.6895746997334,7874.572582888889,,,,,,,14174.2306492,0.0
BU03070600,utility,2029.324739940824,364.0901660608327,,,,,,,655.3622989094989,62.7478498905011
BU03072405,residences,14717.893298960746,22210.03679834804,,,,,,,39666.55291724,0.0
BU03072405,utility,9771.251266960737,111.23586955204003,,,,,,,198.664394208,0.0
BU03072106,residences,6809.402041235626,11232.38841816071,,,,,,,18970.388626879998,0.0
BU03072106,utility,4494.887876990955,298.1349334504497,,,,,,,503.520296864,0.0
BU03072400,residences,14819.589311464559,22268.51493683661,,,,,,,38953.17535743,0.0
BU03072400,utility,10005.765688618081,311.5669548852479,,,,,,,545.008154502,0.0
BU03071906,residences,2181.4281831776,3500.6213793333336,,,,,,,6301.1184828000005,0.0
BU03071906,utility,1407.1991926675075,68.7552865902375,,,,,,,123.75951586242752,74.8638011505725
BU03070502,residences,452.19599981999994,,,3681.83570323,,,866.314283112941,,3681.83570323,0.0
BU03070502,utility,452.19600357750005,,,32215.905273006,,,7580.213005413175,,32215.905273006,0.0
BU03072002,residences,5710.8897695552005,9312.13270456271,,,,,,,15393.971565599999,0.0
BU03072002,utility,3868.1255197551036,418.0397470630113,,,,,,,691.0653213119999,0.0
BU03072107,residences,7624.23946616904,12123.035147382949,,,,,,,21080.94786837,0.0
BU03072107,utility,5043.178069800299,280.27386475295924,,,,,,,487.37289465000003,0.0
BU03070107,residences,1586.0610000832503,,,8628.7298589,,,2030.2893785647054,,8628.7298589,0.0
BU03070107,utility,1586.0609658629999,,,45873.813480176,,,10793.838465923762,,45873.813480176,0.0
BU03071703,residences,5424.974889192013,10446.513027451969,,,,,,,18757.31560669159,2188.351059588409
BU03071703,utility,3317.9054840776453,1083.5584783281124,,,,,,,1945.591634538393,1191.1383909456076
BU03072407,residences,14806.705237135628,21766.96297405375,,,,,,,38788.549764380004,0.0
