neighbourhood_code,heat_source_code,heat_source_name,distance_in_m
BU03070307,LTHP03,First Master Food Manufactory BV,2139.2276331798453
BU03072901,LTHP01,RWZI   Amersfoort,5834.020888973843
BU03071801,LTHP03,First Master Food Manufactory BV,2273.395538377771
BU03070401,LTHP03,First Master Food Manufactory BV,2351.9359589567316
BU03070306,LTHP03,First Master Food Manufactory BV,2129.6459712904602
BU03073103,LTHP01,RWZI   Amersfoort,5603.304357845524
BU03073101,LTHP01,RWZI   Amersfoort,6118.196771452179
BU03073001,LTHP01,RWZI   Amersfoort,5030.8073024111145
BU03073102,LTHP01,RWZI   Amersfoort,5943.387529269795
BU03072404,LTHP01,RWZI   Amersfoort,3706.470902880203
BU03072802,LTHP01,RWZI   Amersfoort,5232.1184546446575
BU03072800,LTHP01,RWZI   Amersfoort,4974.953194503192
BU03072804,LTHP02,Tele2  POP   Amersfoort  Amersfoort,1889.0697448483274
BU03070205,LTHP03,First Master Food Manufactory BV,2864.5487504686344
BU03073000,LTHP01,RWZI   Amersfoort,5139.213278404623
BU03072803,LTHP01,RWZI   Amersfoort,4624.456450176291
BU03072900,LTHP01,RWZI   Amersfoort,5527.640002480574
BU03072902,LTHP01,RWZI   Amersfoort,5614.651045412198
BU03070603,LTHP01,RWZI   Amersfoort,2453.5313230174347
BU03072601,LTHP01,RWZI   Amersfoort,5299.655975520544
BU03072602,LTHP01,RWZI   Amersfoort,5847.53564674466
BU03072801,LTHP01,RWZI   Amersfoort,4688.375247721331
BU03070206,LTHP03,First Master Food Manufactory BV,2582.03114189744
BU03070601,LTHP02,Tele2  POP   Amersfoort  Amersfoort,2249.298782809084
BU03070700,LTHP02,Tele2  POP   Amersfoort  Amersfoort,1973.8908549281555
BU03070701,LTHP01,RWZI   Amersfoort,3298.95035766903
BU03071403,LTHP02,Tele2  POP   Amersfoort  Amersfoort,3000.4970250632996
BU03070106,LTHP02,Tele2  POP   Amersfoort  Amersfoort,2941.312173111776
BU03070202,LTHP03,First Master Food Manufactory BV,2639.180131744642
BU03071004,LTHP01,RWZI   Amersfoort,4144.1398360831245
BU03071803,LTHP03,First Master Food Manufactory BV,1878.6930495382273
BU03071000,LTHP02,Tele2  POP   Amersfoort  Amersfoort,1360.0630743431227
BU03070302,LTHP03,First Master Food Manufactory BV,1991.9821856470287
BU03070101,LTHP02,Tele2  POP   Amersfoort  Amersfoort,2591.872050492352
BU03070702,LTHP02,Tele2  POP   Amersfoort  Amersfoort,1803.3042852414849
BU03071500,LTHP03,First Master Food Manufactory BV,3244.9391994517678
BU03071301,LTHP02,Tele2  POP   Amersfoort  Amersfoort,1613.7176843938303
BU03071501,HTHP0007,biomassaketel_deHoef,3650.0944489234844
BU03070105,LTHP02,Tele2  POP   Amersfoort  Amersfoort,2396.818031065044
BU03071001,LTHP02,Tele2  POP   Amersfoort  Amersfoort,1204.883962313752
BU03071903,LTHP01,RWZI   Amersfoort,1875.3432922859015
BU03071002,LTHP02,Tele2  POP   Amersfoort  Amersfoort,873.600693348666
BU03071901,LTHP01,RWZI   Amersfoort,2506.411257863472
BU03071601,LTHP03,First Master Food Manufactory BV,3513.668704931209
BU03071402,LTHP02,Tele2  POP   Amersfoort  Amersfoort,2725.567676272471
BU03070104,HTHP0007,biomassaketel_deHoef,2552.3588253140983
BU03070303,HTHP0007,biomassaketel_deHoef,3946.5898837659797
BU03070204,HTHP0007,biomassaketel_deHoef,3478.9100113738627
BU03071602,LTHP03,First Master Food Manufactory BV,3798.3202084777286
BU03070501,HTHP0008,biomassaketel_deIsselt,3072.904117642137
BU03071300,LTHP02,Tele2  POP   Amersfoort  Amersfoort,1915.7037272806256
BU03071700,HTHP0007,biomassaketel_deHoef,3820.9526545347208
BU03072600,LTHP02,Tele2  POP   Amersfoort  Amersfoort,1842.4744389335194
BU03071401,LTHP02,Tele2  POP   Amersfoort  Amersfoort,2272.5403304897072
BU03071502,LTHP02,Tele2  POP   Amersfoort  Amersfoort,3337.0907805637953
BU03071101,LTHP02,Tele2  POP   Amersfoort  Amersfoort,832.7670575573823
BU03070100,HTHP0007,biomassaketel_deHoef,2802.382344570979
BU03070304,HTHP0008,biomassaketel_deIsselt,1344.147503470951
BU03070103,LTHP02,Tele2  POP   Amersfoort  Amersfoort,2799.8024367104804
BU03070107,HTHP0008,biomassaketel_deIsselt,3051.3936789725803
BU03071704,LTHP03,First Master Food Manufactory BV,3136.708702098987
BU03070300,LTHP03,First Master Food Manufactory BV,1533.9503223656568
BU03071400,LTHP02,Tele2  POP   Amersfoort  Amersfoort,2356.193866162954
BU03071706,HTHP0008,biomassaketel_deIsselt,3860.9539910108083
BU03070502,HTHP0008,biomassaketel_deIsselt,4753.457506229665
BU03070905,LTHP02,Tele2  POP   Amersfoort  Amersfoort,1286.3640092354162
BU03070803,LTHP02,Tele2  POP   Amersfoort  Amersfoort,1740.8235705997615
BU03072503,HTHP0007,biomassaketel_deHoef,1396.7838249279205
BU03070108,HTHP0007,biomassaketel_deHoef,2648.4664609575825
BU03071503,LTHP02,Tele2  POP   Amersfoort  Amersfoort,3710.267613464527
BU03071705,LTHP03,First Master Food Manufactory BV,3581.9395361029724
BU03072003,LTHP02,Tele2  POP   Amersfoort  Amersfoort,1378.0471820823989
BU03072105,LTHP01,RWZI   Amersfoort,3503.0522079542084
BU03071701,LTHP03,First Master Food Manufactory BV,2937.775934543647
BU03071003,HTHP0007,biomassaketel_deHoef,1587.7071890760844
BU03070305,LTHP03,First Master Food Manufactory BV,451.65537274086773
BU03072508,LTHP02,Tele2  POP   Amersfoort  Amersfoort,1987.9269036200353
BU03071302,LTHP02,Tele2  POP   Amersfoort  Amersfoort,2299.32455139605
BU03071600,LTHP03,First Master Food Manufactory BV,3321.6041116968236
BU03070402,LTHP01,RWZI   Amersfoort,1881.5455356810164
BU03070800,LTHP01,RWZI   Amersfoort,1886.3150935570793
BU03070801,LTHP02,Tele2  POP   Amersfoort  Amersfoort,2208.3613699973207
BU03070301,LTHP03,First Master Food Manufactory BV,956.806071405844
BU03070500,LTHP03,First Master Food Manufactory BV,1117.4227241097785
BU03070102,LTHP02,Tele2  POP   Amersfoort  Amersfoort,2799.08685146481
BU03072500,LTHP02,Tele2  POP   Amersfoort  Amersfoort,717.809235107117
BU03070403,LTHP01,RWZI   Amersfoort,1110.5232796108485
